track_name,artist_name,release_date,popularity,danceability,energy,loudness,tempo,instrumentalness,key,mode,release_year,release_month,duration_s
Song 64,Artist 64,2015-01-01,56.10613,0.3105314,0.4516193,-5.5108,194.76552,0.067166604,4,1,2015,1,207.748
Song 65,Artist 65,2025-12-31,37.452854,0.47598517,0.43421614,-0.7748049,111.74636,0.01961806,3,1,2025,12,198.807
Song 66,Artist 66,2025-12-31,56.313854,0.76388514,0.46329007,-3.4596155,110.46717,0.0671458,10,1,2025,12,157.14
Song 67,Artist 67,2015-01-01,55.909145,0.6107763,0.7513526,-3.5671208,123.49735,0.02524312,5,1,2015,1,213.226
Song 68,Artist 68,2025-12-31,21.458715,0.50885737,0.7266069,-11.163606,152.14548,0.0018558337,7,1,2025,12,295.973
Song 69,Artist 69,2025-12-31,59.185577,0.5230436,0.54024446,-4.708419,74.80398,0.06992087,0,1,2025,12,238.815
Song 70,Artist 70,2025-12-31,56.53598,0.30081218,0.7826645,-7.1593204,61.03332,0.06447936,6,1,2025,12,178.525
Song 71,Artist 71,2025-12-31,70.44309,0.4798803,0.8920405,-8.6529455,102.38654,0.041080926,7,0,2025,12,170.491
Song 72,Artist 72,2015-01-01,87.734344,0.6878753,0.42494738,-6.495954,70.98231,0.052568607,8,0,2015,1,158.078
Song 73,Artist 73,2025-12-31,76.898476,0.88451666,0.698878,-4.1643653,107.25506,0.09471692,10,1,2025,12,241.654
Song 74,Artist 74,2015-01-01,55.96667,0.8082365,0.81358624,-5.497505,135.075,0.059520017,7,0,2015,1,279.101
Song 75,Artist 75,2025-12-31,43.40211,0.31415698,0.55138713,-9.635422,93.277534,0.065788396,6,1,2025,12,166.997
Song 76,Artist 76,2025-12-31,98.600395,0.83913636,0.58466256,-4.772623,77.195206,0.0063911323,2,0,2025,12,281.94
Song 77,Artist 77,2025-12-31,60.888275,0.76991904,0.76818275,-8.912763,122.08012,0.016599447,1,0,2025,12,247.356
Song 78,Artist 78,2015-01-01,60.20894,0.76822567,0.9387612,-6.349951,145.8763,0.030095227,2,0,2015,1,263.711
Song 79,Artist 79,2025-12-31,59.638123,0.57479745,0.8859547,-7.9100504,69.150795,0.05393793,3,1,2025,12,171.246
Song 80,Artist 80,2015-01-01,62.97127,0.53880316,0.7498781,-7.6565986,144.60698,0.07765909,3,1,2015,1,297.326
Song 81,Artist 81,2025-12-31,57.834595,0.48174945,0.83813304,-4.701271,144.51918,0.032124087,5,1,2025,12,184.512
Song 82,Artist 82,2015-01-01,51.39507,0.33941692,0.6188935,-10.120582,148.62256,0.035638243,11,1,2015,1,207.865
Song 83,Artist 83,2025-12-31,51.797115,0.4369412,0.78457934,-1.1644148,156.55441,0.025615089,6,0,2025,12,253.393
Song 84,Artist 84,2015-01-01,59.5087,0.4479622,0.67970896,-12.463258,186.06042,0.025460932,11,1,2015,1,222.144
Song 85,Artist 85,2015-01-01,51.84863,0.59044623,0.5139617,-8.793003,109.31724,0.094886385,3,0,2015,1,267.363
Song 86,Artist 86,2025-12-31,49.307312,0.7484667,0.82104295,-5.8893642,123.28715,0.06354572,9,1,2025,12,200.665
Song 87,Artist 87,2015-01-01,61.596455,0.5842859,0.7338788,-5.2470574,107.50684,0.015590125,5,0,2015,1,243.542
Song 88,Artist 88,2025-12-31,56.175343,0.33470666,0.6151729,-7.3014274,120.0593,0.072224855,8,0,2025,12,251.311
Song 89,Artist 89,2025-12-31,82.5599,0.8746739,0.9468035,-7.172172,165.9862,0.072202116,5,0,2025,12,164.325
Song 90,Artist 90,2025-12-31,21.458715,0.8656346,0.41256046,-5.7683496,79.64957,0.06664702,2,0,2025,12,282.825
Song 91,Artist 91,2025-12-31,76.372604,0.77111375,0.5894639,-7.693208,94.16851,0.013472045,0,1,2025,12,299.068
Song 92,Artist 92,2025-12-31,78.69128,0.8947967,0.43412885,-2.8204563,161.31543,0.04079915,10,1,2025,12,218.811
Song 93,Artist 93,2025-12-31,28.899147,0.6266894,0.8599164,-4.4819527,150.60109,0.010675633,9,0,2025,12,266.737
Song 94,Artist 94,2025-12-31,54.859688,0.877661,0.82126445,-4.381527,109.10605,0.08166205,9,1,2025,12,150.824
Song 95,Artist 95,2025-12-31,54.428387,0.34536302,0.5988113,-9.89847,145.63206,0.06551722,4,1,2025,12,294.952
Song 96,Artist 96,2025-12-31,38.887325,0.51940846,0.80539775,-7.2381654,130.23648,0.050720394,9,0,2025,12,267.718
Song 97,Artist 97,2025-12-31,48.33275,0.43522877,0.63756233,-7.9013977,165.00824,0.03430155,9,1,2025,12,216.617
Song 98,Artist 98,2025-12-31,43.341362,0.41749984,0.85375226,-10.016804,122.23529,0.018424947,2,1,2025,12,161.517
Song 99,Artist 99,2015-01-01,86.28406,0.38448176,0.6725102,-5.9195075,150.76897,0.010644759,7,1,2015,1,297.948
Song 100,Artist 100,2015-01-01,74.03518,0.6734482,0.64736784,-8.612937,199.26036,0.09692406,9,0,2015,1,253.068
Song 101,Artist 101,2025-12-31,79.073326,0.7687931,0.96083796,-5.0337887,137.94298,0.019964864,0,1,2025,12,265.016
Song 102,Artist 102,2025-12-31,70.82508,0.64697903,0.55052745,-10.210575,121.47984,0.0059874626,10,0,2025,12,159.982
Song 103,Artist 103,2025-12-31,43.064224,0.38817763,0.4722684,-1.8428781,141.67342,0.09616668,1,0,2025,12,295.711
Song 104,Artist 104,2025-12-31,52.132195,0.78667426,0.75072587,-9.688998,109.04157,0.054895174,2,0,2025,12,220.21
Song 105,Artist 105,2025-12-31,67.34062,0.6815728,0.9815931,-6.342093,191.63904,0.079665676,2,1,2025,12,219.852
Song 106,Artist 106,2025-12-31,41.668083,0.53289944,0.6267035,-4.624422,125.40213,0.0043765847,11,1,2025,12,263.618
Song 107,Artist 107,2025-12-31,70.69498,0.7044782,0.43722206,-8.711922,111.812004,0.056694586,7,1,2025,12,159.695
Song 108,Artist 108,2025-12-31,56.39512,0.455943,0.60358316,-4.442594,94.92933,0.039820995,4,0,2025,12,198.582
Song 109,Artist 109,2015-01-01,54.37769,0.5071153,0.703559,-10.687551,152.91661,0.07719644,7,1,2015,1,181.094
Song 110,Artist 110,2025-12-31,70.6644,0.8504915,0.49715382,-2.643647,146.01562,0.0038425645,10,0,2025,12,172.187
Song 111,Artist 111,2015-01-01,66.66395,0.4743027,0.7948613,-6.9575524,105.07937,0.040169057,10,1,2015,1,268.013
Song 112,Artist 112,2025-12-31,54.585506,0.581993,0.99864966,-8.789234,137.29353,0.07990734,5,0,2025,12,278.721
Song 113,Artist 113,2025-12-31,77.389946,0.8340847,0.6710437,-7.8975453,74.743324,0.052269727,11,1,2025,12,256.683
Song 114,Artist 114,2015-01-01,43.78405,0.7246328,0.61283714,-4.573242,125.54912,0.055003874,1,1,2015,1,151.214
Song 115,Artist 115,2025-12-31,69.23904,0.33732194,0.6404225,-8.7533655,133.58269,0.009716468,10,1,2025,12,173.94
Song 116,Artist 116,2015-01-01,68.89652,0.38838184,0.46908772,-9.248073,171.2199,0.013233055,3,0,2015,1,194.406
Song 117,Artist 117,2025-12-31,55.356804,0.30470496,0.9299642,-7.66461,96.875435,0.06769996,8,0,2025,12,297.049
Song 118,Artist 118,2025-12-31,64.892,0.67855304,0.6488954,-10.530887,81.64942,0.06750466,3,1,2025,12,208.414
Song 119,Artist 119,2015-01-01,41.233295,0.56860405,0.63236463,-1.5383682,93.13716,0.09791034,4,0,2015,1,251.44
Song 120,Artist 120,2025-12-31,73.860405,0.3805649,0.79581416,-8.699183,79.90295,0.0711953,4,0,2025,12,253.569
Song 121,Artist 121,2015-01-01,57.226467,0.87476045,0.6652201,-4.50515,160.09972,0.04932435,9,0,2015,1,210.481
Song 122,Artist 122,2025-12-31,52.159153,0.6177958,0.7889401,-6.3715897,166.45918,0.08573278,7,1,2025,12,177.74
Song 123,Artist 123,2015-01-01,75.73514,0.44513598,0.43686777,-9.953602,129.60649,0.010447298,5,1,2015,1,213.328
Song 124,Artist 124,2015-01-01,49.434845,0.6003621,0.888234,-7.017864,156.63885,0.044929583,9,1,2015,1,161.881
Song 125,Artist 125,2025-12-31,38.87308,0.7077722,0.96430236,-4.6479917,124.01875,0.028710911,6,0,2025,12,186.996
Song 126,Artist 126,2025-12-31,36.650562,0.34574354,0.78925925,-7.564784,117.14665,0.010463781,5,1,2025,12,272.196
Song 127,Artist 127,2015-01-01,69.09015,0.4648223,0.9727396,-3.4206612,110.00887,0.07635021,4,0,2015,1,187.177
Song 128,Artist 128,2025-12-31,40.79356,0.7841793,0.4908594,-3.935454,110.68827,0.051079202,4,0,2025,12,216.126
Song 129,Artist 129,2025-12-31,86.321915,0.5757989,0.6864497,-4.2432556,73.565956,0.055676874,2,1,2025,12,206.531
Song 130,Artist 130,2025-12-31,28.771059,0.62794626,0.761084,-8.37897,127.92764,0.041125517,6,1,2025,12,176.119
Song 131,Artist 131,2015-01-01,85.446846,0.5596896,0.749042,-10.239528,118.789986,0.04603372,9,1,2015,1,267.744
Song 132,Artist 132,2015-01-01,63.16526,0.32633996,0.64087707,-8.840763,142.36082,0.011601739,4,0,2015,1,266.894
Song 133,Artist 133,2015-01-01,58.549305,0.39944986,0.6028506,-6.4112773,122.8057,0.06729178,6,0,2015,1,283.78
Song 134,Artist 134,2015-01-01,51.826214,0.567325,0.47609442,-5.36264,115.11889,0.043244734,1,1,2015,1,194.989
Song 135,Artist 135,2015-01-01,65.987045,0.42551127,0.63504547,-13.514714,93.86421,0.08167676,8,0,2015,1,172.106
Song 136,Artist 136,2015-01-01,59.43548,0.3299874,0.4975965,-7.0243397,122.1646,0.01962872,7,1,2015,1,167.131
Song 137,Artist 137,2015-01-01,76.54953,0.8061898,0.8406194,-6.5257325,142.14711,0.02050551,4,1,2015,1,196.553
Song 138,Artist 138,2015-01-01,61.713413,0.8887155,0.52529854,-7.8326325,85.69983,0.064575955,1,1,2015,1,156.553
Song 139,Artist 139,2015-01-01,62.254528,0.7758857,0.43513918,-3.1261785,122.624214,0.084600344,5,1,2015,1,167.881
Song 140,Artist 140,2025-12-31,54.54582,0.81227094,0.7314197,-5.7346597,126.99129,0.047219783,7,1,2025,12,151.379
Song 141,Artist 141,2015-01-01,59.145817,0.4451863,0.75713784,-3.0694244,98.45805,0.07269539,6,1,2015,1,240.791
Song 142,Artist 142,2025-12-31,64.61703,0.8763762,0.92314786,-7.6478815,102.36431,0.09993299,7,0,2025,12,255.664
Song 143,Artist 143,2025-12-31,34.347473,0.41815543,0.74618894,-4.1875677,126.91833,0.09902656,3,0,2025,12,219.306
Song 144,Artist 144,2025-12-31,39.777218,0.8708579,0.60728854,-2.0948007,85.99737,0.074433684,2,1,2025,12,290.16
Song 145,Artist 145,2015-01-01,71.148964,0.8968916,0.88180715,-3.0649197,130.49771,0.07395865,6,1,2015,1,254.512
Song 146,Artist 146,2015-01-01,62.56298,0.7270337,0.72416735,-10.276424,93.139366,0.02476189,1,0,2015,1,166.35
Song 147,Artist 147,2015-01-01,57.24025,0.88868624,0.44756818,-7.7610283,151.8856,0.08335397,4,0,2015,1,249.599
Song 148,Artist 148,2015-01-01,60.27651,0.6417239,0.73951036,-8.035494,190.13483,0.04051021,6,1,2015,1,231.397
Song 149,Artist 149,2025-12-31,65.21372,0.45572507,0.9448111,-5.5322366,94.1773,0.09619939,0,1,2025,12,229.509
Song 150,Artist 150,2015-01-01,51.903606,0.5621975,0.6377876,-4.9409394,136.02623,0.008142768,3,0,2015,1,167.769
Song 151,Artist 151,2015-01-01,48.325428,0.6561366,0.5777955,-9.516678,98.19775,0.043584038,1,1,2015,1,251.584
Song 152,Artist 152,2015-01-01,62.93768,0.34384894,0.48608166,-6.7964845,151.22862,0.055584047,5,0,2015,1,196.365
Song 153,Artist 153,2015-01-01,45.32441,0.67340595,0.49086732,-13.059782,82.042244,0.04051562,11,1,2015,1,200.185
Song 154,Artist 154,2015-01-01,66.123795,0.8887067,0.6596629,-2.674165,134.4176,0.021057919,0,0,2015,1,283.858
Song 155,Artist 155,2025-12-31,34.461246,0.4140646,0.7574079,-8.537123,93.81033,0.05929885,6,1,2025,12,276.525
Song 156,Artist 156,2015-01-01,75.43733,0.77555704,0.44836923,-6.832408,113.79046,0.075591795,2,1,2015,1,282.692
Song 157,Artist 157,2025-12-31,67.08896,0.84473926,0.9637411,-7.9289494,89.069244,0.06448386,11,1,2025,12,186.303
Song 158,Artist 158,2015-01-01,63.840446,0.86622095,0.85308015,-3.5619173,144.67052,0.023444885,0,0,2015,1,169.589
Song 159,Artist 159,2025-12-31,74.740364,0.87608135,0.75197434,-15.042589,94.89059,0.0731608,7,1,2025,12,152.882
Song 160,Artist 160,2015-01-01,84.98212,0.61287576,0.8970632,-7.049831,136.55893,0.02568978,6,0,2015,1,279.236
Song 161,Artist 161,2015-01-01,75.21555,0.8863847,0.44811204,-7.3174562,109.677055,0.017520236,1,0,2015,1,159.745
Song 162,Artist 162,2025-12-31,32.386887,0.7543861,0.68610334,-8.360909,116.56583,0.0690668,6,0,2025,12,165.861
Song 163,Artist 163,2025-12-31,40.806347,0.39700288,0.77805585,-1.8213204,124.43268,0.084278725,2,0,2025,12,241.707
Song 164,Artist 164,2025-12-31,50.62772,0.58614004,0.89719176,-9.661988,97.145256,0.048153944,8,1,2025,12,204.261
Song 165,Artist 165,2015-01-01,60.391365,0.7309987,0.8700817,-4.6846113,126.31101,0.05313918,7,1,2015,1,283.909
Song 166,Artist 166,2025-12-31,67.764885,0.4484042,0.56624156,-5.9312415,165.91003,0.030274756,4,1,2025,12,224.135
Song 167,Artist 167,2015-01-01,49.113842,0.6843691,0.9645281,-3.2154422,96.65716,0.0494618,6,0,2015,1,204.38
Song 168,Artist 168,2015-01-01,62.801502,0.6999603,0.4746075,-9.001567,155.1543,0.0131983,2,1,2015,1,236.089
Song 169,Artist 169,2025-12-31,48.669254,0.39761984,0.9250802,-9.198907,164.94293,0.09558308,0,0,2025,12,255.025
Song 170,Artist 170,2025-12-31,50.827232,0.6390512,0.98256415,-3.7117903,95.51535,0.08003607,0,0,2025,12,194.397
Song 171,Artist 171,2015-01-01,38.900085,0.76297617,0.5062921,-5.724036,76.34836,0.06679731,10,0,2015,1,227.085
Song 172,Artist 172,2015-01-01,46.1515,0.5993374,0.8332396,-11.634812,129.05882,0.053819437,1,1,2015,1,213.865
Song 173,Artist 173,2025-12-31,39.72473,0.30726188,0.4241713,-8.617915,103.577774,0.07921691,7,0,2025,12,205.956
Song 174,Artist 174,2025-12-31,45.3619,0.30542308,0.6432537,-5.8408523,176.05809,0.049475726,0,1,2025,12,250.727
Song 175,Artist 175,2025-12-31,75.80463,0.5142176,0.70976996,-4.486707,121.04423,0.029997392,10,1,2025,12,293.978
Song 176,Artist 176,2015-01-01,45.759018,0.85571647,0.74838716,-9.037692,95.93402,0.016037423,11,1,2015,1,164.988
Song 177,Artist 177,2015-01-01,99.48573,0.43720606,0.96156234,-15.042589,85.58521,0.06475856,4,0,2015,1,183.8
Song 178,Artist 178,2015-01-01,67.399765,0.6806182,0.8033504,-5.4303303,152.69714,0.09294257,8,1,2015,1,237.329
Song 179,Artist 179,2015-01-01,62.77254,0.4332455,0.6887668,-10.660962,102.86448,0.015361856,11,0,2015,1,202.284
Song 180,Artist 180,2015-01-01,47.124634,0.493002,0.885805,-13.052016,121.314865,0.018001804,8,0,2015,1,206.232
Song 181,Artist 181,2015-01-01,70.50465,0.80882525,0.9703197,-15.042589,148.67409,0.043360602,1,0,2015,1,194.42
Song 182,Artist 182,2025-12-31,51.365433,0.73731685,0.4132397,-4.5580573,105.47225,0.08068994,6,0,2025,12,187.71
Song 183,Artist 183,2015-01-01,61.830147,0.35723957,0.98951274,-6.6141477,118.62213,0.029392272,10,1,2015,1,242.035
Song 184,Artist 184,2015-01-01,98.40127,0.55722123,0.4516793,-7.676969,119.502945,0.025391292,0,1,2015,1,181.283
Song 185,Artist 185,2015-01-01,58.5591,0.31750187,0.88863206,-2.832927,140.49974,0.061996628,2,1,2015,1,175.968
Song 186,Artist 186,2025-12-31,77.2391,0.5885341,0.5682008,-5.088026,137.72234,0.05356148,5,1,2025,12,212.508
Song 187,Artist 187,2015-01-01,49.452354,0.6974604,0.4793078,-2.1511,113.39659,0.0060220365,8,0,2015,1,263.435
Song 188,Artist 188,2015-01-01,59.475174,0.3711016,0.66391337,-11.178206,121.90947,0.008148998,9,0,2015,1,235.366
Song 189,Artist 189,2025-12-31,86.56201,0.47333097,0.786374,-7.103652,108.84663,0.0643013,1,0,2025,12,155.738
Song 190,Artist 190,2015-01-01,50.595493,0.53870195,0.6285711,-11.850141,75.67163,0.04651236,6,0,2015,1,153.098
Song 191,Artist 191,2015-01-01,87.18673,0.8517186,0.43273926,-7.688147,127.72803,0.09709772,3,1,2015,1,245.424
Song 192,Artist 192,2015-01-01,70.61628,0.895953,0.7596767,-7.7458477,176.76575,0.06785314,1,1,2015,1,228.672
Song 193,Artist 193,2015-01-01,51.563,0.32694677,0.94144195,-5.120159,93.48843,0.0010073662,2,0,2015,1,188.244
Song 194,Artist 194,2015-01-01,69.486115,0.75660473,0.62992924,-6.8633084,96.809105,0.04810188,5,0,2015,1,289.325
Song 195,Artist 195,2025-12-31,74.58832,0.52303445,0.52979964,-5.1297784,93.87817,0.041444793,9,0,2025,12,204.333
Song 196,Artist 196,2025-12-31,69.32715,0.5354749,0.6655464,-4.8896794,141.73775,0.010671386,8,0,2025,12,275.349
Song 197,Artist 197,2025-12-31,36.44663,0.752559,0.42901763,-0.53521395,133.45456,0.09232088,7,1,2025,12,200.969
Song 198,Artist 198,2015-01-01,49.09294,0.85105586,0.89229256,-7.94589,115.243866,0.08050113,9,0,2015,1,240.744
Song 199,Artist 199,2015-01-01,56.28722,0.8705571,0.89580446,-9.823068,92.45943,0.02300859,10,1,2015,1,267.286
Song 200,Artist 200,2015-01-01,58.8835,0.64627355,0.7528003,-6.2617493,122.7713,0.025598075,8,1,2015,1,225.028
Song 201,Artist 201,2025-12-31,69.31008,0.5142727,0.6118617,-9.40684,73.06133,0.0032018053,3,0,2025,12,185.421
Song 202,Artist 202,2015-01-01,62.665516,0.7725294,0.87987,-2.5541177,124.302795,0.029671745,11,0,2015,1,282.526
Song 203,Artist 203,2015-01-01,39.969833,0.45060083,0.7328122,-7.849654,146.14574,0.058462203,3,1,2015,1,298.594
Song 204,Artist 204,2025-12-31,65.702965,0.6384444,0.8955594,-8.696729,82.46403,0.04208434,8,1,2025,12,188.575
Song 205,Artist 205,2015-01-01,69.15878,0.5151471,0.7788753,-8.413947,74.02445,0.09692555,7,0,2015,1,153.192
Song 206,Artist 206,2025-12-31,68.39686,0.69397867,0.87064326,-4.8447475,167.38313,0.005608017,11,1,2025,12,261.116
Song 207,Artist 207,2025-12-31,76.21171,0.44423935,0.7591378,-7.473241,101.64721,0.059143014,1,0,2025,12,277.874
Song 208,Artist 208,2025-12-31,72.508835,0.41495577,0.64848465,-8.925,154.07843,0.08583094,7,0,2025,12,231.311
Song 209,Artist 209,2015-01-01,66.8877,0.85094345,0.9747675,-2.0039442,115.38007,0.048074093,0,1,2015,1,291.474
Song 210,Artist 210,2015-01-01,58.947514,0.3610822,0.7246683,-9.568509,115.14136,0.00029627205,8,1,2015,1,230.781
Song 211,Artist 211,2015-01-01,35.085587,0.60357475,0.7630537,-6.893302,133.15237,0.02428015,8,0,2015,1,186.527
